# compound id (and file prefix), SMILES, iupac name (or alternative if IUPAC is unavailable or not parseable by OEChem), experimental value (kcal/mol), experimental uncertainty (kcal/mol), Mobley group calculated value (GAFF) (kcal/mol), calculated uncertainty (kcal/mol),dG (TF),std (TF),diff (TF vs exp),diff (GAFF vs exp),dG (Brooks),diff (Brooks vs TF),,,,,,,RMSE(Brooks vs TF),RMSE (TF vs exp)
mobley_9414831, Cc1cccc2c1cccc2, 1-methylnaphthalene,-2.44,0.6,-3.21,0.03,-1.42,0.05,1.02,0.77,,,,,,,,,,1.04
mobley_2364370, CCCCOC(=O)C, butyl acetate,-2.64,0.6,-3.41,0.03,-2.56,0.11,0.08,0.77,,,,,,,,,,0.01
mobley_4483973, c1ccc(cc1)F, fluorobenzene,-0.8,0.6,-0.04,0.02,-0.91,0.08,0.11,0.76,,,,,,,,,,0.01
mobley_6175884, Cc1ccc(cc1)C=O, 4-methylbenzaldehyde,-4.27,0.6,-5.01,0.03,-2.89,0.05,1.38,0.74,,,,,,,,,,1.90
mobley_1800170, CCS, ethanethiol,-1.14,0.6,-0.4,0.02,0.03,0.06,1.17,0.74,,,,,,,,,,1.37
mobley_3682850, C1CCC(=O)CC1, cyclohexanone,-4.91,0.6,-4.18,0.03,-3.07,0.09,1.84,0.73,,,,,,,,,,3.39
mobley_6981465, CC(C)OC(=O)C, isopropyl acetate,-2.64,0.6,-3.37,0.03,-2.9,0.13,0.26,0.73,,,,,,,,,,0.07
mobley_3980099, c1cc(c(c(c1)Cl)Cl)Cl," 1,2,3-trichlorobenzene",-1.24,0.6,-0.51,0.03,-1.14,0.08,0.10,0.73,,,,,,,,,,0.01
mobley_6081058, CCCCC/C=C/C=O, oct-2-enal,-3.43,0.6,-2.71,0.03,-4.84,0.17,1.41,0.72,,,,,,,,,,1.99
mobley_5390332, CCCC(=O)OC, methyl butanoate,-2.83,0.6,-3.55,0.03,-3.49,0.1,0.66,0.72,,,,,,,,,,0.44
mobley_3210206, C[C@@H](CO[N+](=O)[O-])O[N+](=O)[O-]," 1,2-dinitroxypropane",-4.95,0.1,-5.65,0.04,-3.09,0.49,1.86,0.70,,,,,,,,,,3.46
mobley_1592519, CCCCCC(=O)OCC, ethyl hexanoate,-2.23,0.6,-2.93,0.03,-2.3,0.07,0.07,0.70,,,,,,,,,,0.00
mobley_3761215, CC(Cl)(Cl)Cl," 1,1,1-trichloroethane",-0.19,0.6,0.51,0.02,-0.48,0.07,0.29,0.70,,,,,,,,,,0.08
mobley_2457863, COc1cccc(c1)O, 3-methoxyphenol,-7.66,0.6,-6.97,0.04,-6.47,0.05,1.19,0.69,,,,,,,,,,1.42
mobley_6257907, c1cc(cc(c1)Cl)N, 3-chloroaniline,-5.82,0.6,-5.14,0.03,-4.15,0.05,1.67,0.68,,,,,,,,,,2.79
mobley_3398536, c1ccc(cc1)I, iodobenzene,-1.74,0.6,-1.06,0.03,-1.43,0.15,0.31,0.68,,,,,,,,,,0.10
mobley_7676709, CC1=CC(=O)[C@@H](CC1)C(C)C, 6-isopropyl-3-methyl-1-cyclohex-2-enone,-4.51,0.1,-3.83,0.03,-4.25,0.22,0.26,0.68,,,,,,,,,,0.07
mobley_1760914, Cc1ccccc1Cl, 1-chloro-2-methyl-benzene,-1.14,0.6,-0.47,0.03,0.04,0.05,1.18,0.67,,,,,,,,,,1.39
mobley_8885088, C1CC=CC1, cyclopentene,0.56,0.6,1.23,0.02,1.46,0.03,0.90,0.67,,,,,,,,,,0.81
mobley_590519, CCSSCC, ethyldisulfanylethane,-1.64,0.6,-0.98,0.03,0.58,0.09,2.22,0.66,,,,,,,,,,4.93
mobley_8966374, Cc1cnccn1, 2-methylpyrazine,-5.51,0.6,-6.16,0.03,-5.2,0.04,0.31,0.65,,,,,,,,,,0.10
mobley_5072416, COc1ccccc1N, 2-methoxyaniline,-6.12,0.6,-6.77,0.03,-6.02,0.21,0.10,0.65,,,,,,,,,,0.01
mobley_2008055, CC, ethane,1.83,0.6,2.46,0.01,2.27,0.04,0.44,0.63,,,,,,,,,,0.19
mobley_4964807, CC(=O)CO[N+](=O)[O-], nitroxyacetone,-5.99,0.1,-5.36,0.03,-6.32,0.11,0.33,0.63,,,,,,,,,,0.11
mobley_676247, C(F)(F)(F)F, tetrafluoromethane,3.12,0.6,2.49,0.02,,,,0.63,,,,,,,,,,
mobley_8723116, c1cc(ccc1N)Cl, 4-chloroaniline,-5.9,0.6,-5.28,0.03,-4.33,0.01,1.57,0.62,,,,,,,,,,2.46
mobley_2143011, CC(C)C=C, 3-methylbut-1-ene,1.83,0.6,2.45,0.02,1.75,0.18,0.08,0.62,,,,,,,,,,0.01
mobley_8883511, Cc1ccccc1C=O, 2-methylbenzaldehyde,-3.93,0.1,-4.55,0.03,-2.68,0.08,1.25,0.62,,,,,,,,,,1.56
mobley_6619554, CCCCC(=O)OCC, ethyl pentanoate,-2.49,0.6,-3.11,0.03,-2.56,0.03,0.07,0.62,,,,,,,,,,0.00
mobley_2316618, c1ccc2c(c1)C(=O)c3cccc(c3C2=O)NCCO," 1-(2-hydroxyethylamino)-9,10-anthraquinone",-14.21,1.1,-13.6,0.05,-12.42,0.54,1.79,0.61,,,,,,,,,,3.20
mobley_664966, C(I)I, diiodomethane,-2.49,0.6,-1.88,0.02,-2.22,0.11,0.27,0.61,,,,,,,,,,0.07
mobley_3425174, C(F)Cl, chloro-fluoro-methane,-0.77,0.6,-0.17,0.02,-0.46,0.07,0.31,0.60,,,,,,,,,,0.10
mobley_2792521, CCC/C=C/C=O, (2E)-hex-2-enal,-3.68,0.6,-3.12,0.03,-4.99,0.06,1.31,0.56,,,,,,,,,,1.72
mobley_5263791, CCc1cccc2c1cccc2, 1-ethylnaphthalene,-2.4,0.6,-2.96,0.03,-1.36,0.11,1.04,0.56,,,,,,,,,,1.08
mobley_9209581, CN(C)C," N,N-dimethylmethanamine",-3.2,0.6,-2.64,0.02,-2.39,0.02,0.81,0.56,,,,,,,,,,0.66
mobley_6359156, c1ccc(cc1)c2cc(ccc2Cl)Cl," 1,4-dichloro-2-phenyl-benzene",-2.46,0.1,-1.9,0.04,-1.79,0.1,0.67,0.56,,,,,,,,,,0.45
mobley_8260524, CC#C, prop-1-yne,-0.48,0.6,0.07,0.02,-0.31,0.04,0.17,0.55,,,,,,,,,,0.03
mobley_2925352, Cc1ccc(cc1)O, p-cresol,-6.13,0.6,-5.58,0.03,-4.44,0.1,1.69,0.55,,,,,,,,,,2.86
mobley_7943327, CCC(=O)OCC, ethyl propanoate,-2.68,0.6,-3.22,0.03,-1.8,0.08,0.88,0.54,,,,,,,,,,0.77
mobley_8789864, COC(CC#N)(OC)OC," 3,3,3-trimethoxypropanenitrile",-6.4,0.6,-5.86,0.03,-6.05,0.23,0.35,0.54,,,,,,,,,,0.12
mobley_859464, CC(C)COC(=O)C, isobutyl acetate,-2.36,0.6,-2.9,0.03,-2.03,0.1,0.33,0.54,,,,,,,,,,0.11
mobley_3264884, c1ccc2cc(ccc2c1)N, naphthalen-2-amine,-7.47,0.6,-8,0.03,-5.41,0.1,2.06,0.53,,,,,,,,,,4.24
mobley_5665561, Cc1cc(c2ccccc2c1)C," 1,3-dimethylnaphthalene",-2.47,0.6,-3,0.03,-1.35,0.05,1.12,0.53,,,,,,,,,,1.25
mobley_1905088, c1ccc(cc1)CBr, benzyl bromide,-2.38,0.2,-1.85,0.03,-3.37,0.05,0.99,0.53,,,,,,,,,,0.98
mobley_2636578, C(CO[N+](=O)[O-])CO[N+](=O)[O-], 3-nitrooxypropyl nitrate,-4.8,0.39,-5.32,0.03,-4.05,0.1,0.75,0.52,,,,,,,,,,0.56
mobley_2972345, c1ccc2c(c1)Cc3ccccc3C2," 9,10-dihydroanthracene",-3.78,0.1,-4.3,0.04,-2.44,0.08,1.34,0.52,,,,,,,,,,1.80
mobley_3775790, Cn1cccc1, 1-methylpyrrole,-2.89,0.6,-2.37,0.02,-1.87,0.05,1.02,0.52,,,,,,,,,,1.04
mobley_1849020, CCOP(=S)(OCC)SCSc1ccc(cc1)Cl, 4-chlorophenyl)sulfanylmethylsulfanyl-diethoxy-thioxo-$l^{5}-phosphane,-6.5,0.83,-7.02,0.05,-8.75,0.13,2.25,0.52,,,,,,,,,,
mobley_4291494, c1ccnc(c1)Cl, 2-chloropyridine,-4.39,0.6,-3.87,0.03,-3.31,0.07,1.08,0.52,,,,,,,,,,1.17
mobley_7599023, c1ccc(cc1)Br, bromobenzene,-1.46,0.6,-0.95,0.03,-0.95,0.06,0.51,0.51,,,,,,,,,,0.26
mobley_3265457, COc1cc(c(c(c1O)OC)Cl)C=O, 2-chlorosyringaldehyde,-7.78,0.77,-8.29,0.06,-8.66,1.28,0.88,0.51,,,,,,,,,,0.77
mobley_3843583, c1ccc2c(c1)cccc2N, naphthalen-1-amine,-7.28,0.6,-7.78,0.03,-5.36,0.05,1.92,0.50,,,,,,,,,,3.69
mobley_2068538, CCC, propane,2,0.2,2.5,0.02,2.42,0.02,0.42,0.50,,,,,,,,,,0.18
mobley_7497999, CC(=O)c1ccccc1, 1-phenylethanone,-4.58,0.6,-5.08,0.03,-4.44,0.04,0.14,0.50,,,,,,,,,,0.02
mobley_4494568, Cc1ccc(cc1)Br, 1-bromo-4-methyl-benzene,-1.39,0.6,-0.89,0.03,-0.73,0.08,0.66,0.50,,,,,,,,,,0.44
mobley_4620651, COC(=O)C1CC1, methyl cyclopropanecarboxylate,-4.1,0.6,-3.6,0.03,-5.61,0.04,1.51,0.50,,,,,,,,,,2.28
mobley_3006808, C(C(F)(F)F)O," 2,2,2-trifluoroethanol",-4.31,0.6,-3.81,0.02,-3.05,0.04,1.26,0.50,,,,,,,,,,1.59
mobley_2501588, CCC[N@@](CC1CC1)c2c(cc(cc2[N+](=O)[O-])C(F)(F)F)[N+](=O)[O-], profluralin,-2.45,1.37,-1.96,0.04,-6.32,0.21,3.87,0.49,,,,,,,,,,14.98
mobley_1923244, CCCC, n-butane,2.1,0.2,2.59,0.02,2.57,0.05,0.47,0.49,,,,,,,,,,0.22
mobley_3690931, CCCC(=O)OCCC, propyl butanoate,-2.28,0.6,-2.75,0.03,-2.13,0.05,0.15,0.47,,,,,,,,,,0.02
mobley_6935906, CC(=CCC[C@](C)(C=C)OC(=O)C)C," (3R)-3,7-Dimethylocta-1,6-dien-3-yl acetate",-2.49,0.85,-2.96,0.04,-3.07,1.16,0.58,0.47,,,,,,,,,,0.34
mobley_2693089, CC(C)Cc1cnccn1, 2-isobutylpyrazine,-5.04,0.6,-5.5,0.03,-4.08,0.08,0.96,0.46,,,,,,,,,,0.92
mobley_3727287, C1=CC(=O)C=CC1=O, quinone,-6.5,0.2,-6.96,0.03,-7.13,0.02,0.63,0.46,,,,,,,,,,0.40
mobley_6688723, COc1c(cc(c(c1O)OC)Cl)Cl," 3,5-dichloro-2,6-dimethoxyphenol",-6.44,0.38,-5.98,0.04,-7.06,0.98,0.62,0.46,,,,,,,,,,0.38
mobley_430089, CCCC#C, pent-1-yne,0.01,0.6,0.47,0.02,0.34,0.03,0.33,0.46,,,,,,,,,,0.11
mobley_9055303, C, methane,2,0.2,2.45,0.01,2.42,0.05,0.42,0.45,,,,,,,,,,0.18
mobley_8006582, C1CCCC1, cyclopentane,1.2,0.6,1.65,0.02,1.6,0.07,0.40,0.45,,,,,,,,,,0.16
mobley_8713762, CCCN(CCC)C(=O)SCCC," N,N-dipropyl(propylsulfanyl)formamide",-4.13,1.36,-4.57,0.04,-4.95,0.37,0.82,0.44,,,,,,,,,,0.67
mobley_7417968, CCOCCOC(=O)C, 2-ethoxyethyl acetate,-5.31,0.1,-5.75,0.03,-5.36,0.05,0.05,0.44,,,,,,,,,,0.00
mobley_9121449, CCC#C, but-1-yne,-0.16,0.6,0.28,0.02,0.02,0.03,0.18,0.44,,,,,,,,,,0.03
mobley_8311321, C(F)(F)Cl, chloro-difluoro-methane,-0.5,0.6,-0.07,0.02,,,,0.43,,,,,,,,,,
mobley_486214, COc1cccc(c1O)OC," 2,6-dimethoxyphenol",-6.96,0.1,-7.39,0.04,-7.53,0.33,0.57,0.43,,,,,,,,,,0.32
mobley_4252724, CC(C)Cc1ccccc1, isobutylbenzene,0.16,0.6,-0.26,0.03,1.03,0.04,0.87,0.42,,,,,,,,,,0.76
mobley_6201330, CCCOC(=O)c1ccc(cc1)O, propyl paraben,-9.37,0.22,-8.95,0.04,-6.74,0.13,2.63,0.42,,,,,,,,,,6.92
mobley_6353617, CC(=O)c1cccnc1, 1-(3-pyridyl)ethanone,-8.26,0.6,-7.84,0.03,-7.93,0.15,0.33,0.42,,,,,,,,,,0.11
mobley_2771569, CN1CCNCC1, 1-methylpiperazine,-7.77,0.6,-8.17,0.03,-7.33,0.33,0.44,0.40,,,,,,,,,,0.19
mobley_7769613, CC(C)(C)Br, 2-bromo-2-methyl-propane,0.84,0.6,0.44,0.02,1.4,0.05,0.56,0.40,,,,,,,,,,0.31
mobley_2146331, C=O, formaldehyde,-2.75,0.6,-3.15,0.01,,,,0.40,,,,,,,,,,
mobley_9942801, CCc1ccc(cc1)C, 1-ethyl-4-methyl-benzene,-0.95,0.6,-0.57,0.03,0.4,0.05,1.35,0.38,,,,,,,,,,1.82
mobley_4613090, c1ccc(cc1)Cn2ccnc2, 1-benzylimidazole,-7.63,0.12,-8,0.03,-13.58,0.05,5.95,0.37,,,,,,,,,,35.40
mobley_5449201, CCCCC, n-pentane,2.3,0.2,2.67,0.02,2.74,0.07,0.44,0.37,,,,,,,,,,0.19
mobley_6812653, CCCCCC, hexane,2.48,0.6,2.85,0.03,2.92,0.07,0.44,0.37,,,,,,,,,,0.19
mobley_5445548, CC(C)c1ccccc1, cumene,-0.3,0.6,-0.67,0.03,0.54,0.04,0.84,0.37,,,,,,,,,,0.71
mobley_1875719, CCC(=O)CC, pentan-3-one,-3.41,0.2,-3.05,0.03,-3.1,0.05,0.31,0.36,,,,,,,,,,0.10
mobley_9114381, COC(=O)CC#N, methyl 2-cyanoacetate,-6.72,0.6,-6.36,0.03,-8.17,0.05,1.45,0.36,,,,,,,,,,2.10
mobley_5220185, CCc1cnccn1, 2-ethylpyrazine,-5.45,0.6,-5.81,0.03,-4.82,0.04,0.63,0.36,,,,,,,,,,0.40
mobley_8117218, C1[C@@H]2[C@H]3[C@@H]([C@H]1[C@H]4[C@@H]2O4)[C@@]5(C(=C([C@]3(C5(Cl)Cl)Cl)Cl)Cl)Cl, endrin,-4.82,0.1,-5.18,0.04,,,,0.36,,,,,,,,,,
mobley_4149784, c1cc2c(cc1Cl)Oc3ccc(cc3O2)Cl," 2,7-dichlorodibenzo-p-dioxin",-3.67,0.12,-3.32,0.04,-2.43,0.04,1.24,0.35,,,,,,,,,,1.54
mobley_1881249, CCCC(=O)C, pentan-2-one,-3.52,0.6,-3.17,0.03,-3.31,0.04,0.21,0.35,,,,,,,,,,0.04
mobley_1987439, Cc1cc(cc(c1)C)C, mesitylene,-0.9,0.6,-0.55,0.03,0.54,0.07,1.44,0.35,,,,,,,,,,2.07
mobley_1615431, CC(C)OC(C)C, 2-isopropoxypropane,-0.53,0.6,-0.18,0.03,-0.28,0.15,0.25,0.35,,,,,,,,,,0.06
mobley_3370989, CC(F)F," 1,1-difluoroethane",-0.11,0.6,0.23,0.02,0.46,0.02,0.57,0.34,,,,,,,,,,0.32
mobley_4609460, CCOC(=O)c1ccc(cc1)O, ethyl paraben,-9.2,0.3,-9.54,0.04,-6.96,0.05,2.24,0.34,,,,,,,,,,5.02
mobley_8798016, c1cnccc1C=O, pyridine-4-carbaldehyde,-7,0.6,-7.34,0.03,-7.36,0.06,0.36,0.34,,,,,,,,,,0.13
mobley_3452749, Cc1cccc(c1C)C," 1,2,3-trimethylbenzene",-1.21,0.6,-0.88,0.03,0.29,0.07,1.50,0.33,,,,,,,,,,2.25
mobley_6232400, c1cc(cnc1)C=O, pyridine-3-carbaldehyde,-7.1,0.6,-7.42,0.03,-7.04,0.06,0.06,0.32,,,,,,,,,,0.00
mobley_7106722, CCCC(C)C, isohexane,2.51,0.6,2.81,0.03,2.99,0.11,0.48,0.30,,,,,,,,,,0.23
mobley_5747981, COCC(OC)(OC)OC," 1,1,1,2-tetramethoxyethane",-5.73,0.6,-5.44,0.04,-4.04,0.37,1.69,0.29,,,,,,,,,,2.86
mobley_4059279, CN1CCN(CC1)C," 1,4-dimethylpiperazine",-7.58,0.6,-7.87,0.03,-6.64,0.44,0.94,0.29,,,,,,,,,,0.88
mobley_3867265, CC(=O)C, acetone,-3.8,0.6,-3.51,0.02,-4.37,0.04,0.57,0.29,,,,,,,,,,0.32
mobley_3083321, COCOC, dimethoxymethane,-2.93,0.2,-3.22,0.04,-2.73,0.05,0.20,0.29,,,,,,,,,,0.04
mobley_6632459, CCC=O, propanal,-3.43,0.6,-3.15,0.02,-2.66,0.04,0.77,0.28,,,,,,,,,,0.59
mobley_3318135, CCCCC(=O)CCCC, nonan-5-one,-2.64,0.6,-2.36,0.03,-2.27,0.1,0.37,0.28,,,,,,,,,,0.14
mobley_4694328, CCCCCCCC=O, octanal,-2.29,0.6,-2.57,0.03,-0.92,0.1,1.37,0.28,,,,,,,,,,1.88
mobley_2295058, COC(=O)c1ccc(cc1)O, methyl paraben,-9.51,0.26,-9.79,0.03,-7.62,0.05,1.89,0.28,,,,,,,,,,3.57
mobley_5631798, N, ammonia,-4.29,0.6,-4.02,0.01,,,,0.27,,,,,,,,,,
mobley_2689721, C1CCCCC1, cyclohexane,1.23,0.6,1.5,0.02,1.92,0.01,0.69,0.27,,,,,,,,,,0.48
mobley_2487143, CCCCC(=O)C, hexan-2-one,-3.28,0.6,-3.01,0.03,-3.19,0.01,0.09,0.27,,,,,,,,,,0.01
mobley_3715043, Cc1ccc(c2c1cccc2)C," 1,4-dimethylnaphthalene",-2.82,0.6,-3.08,0.03,-1.31,0.04,1.51,0.26,,,,,,,,,,2.28
mobley_7047032, CC(C)(C)Cl, 2-chloro-2-methyl-propane,1.09,0.6,0.83,0.02,1.59,0.05,0.50,0.26,,,,,,,,,,0.25
mobley_5026370, c1cnccc1C#N, pyridine-4-carbonitrile,-6.02,0.6,-5.76,0.03,-8.27,0.05,2.25,0.26,,,,,,,,,,5.06
mobley_3663158, c1ccc2cc(ccc2c1)O, naphthalen-2-ol,-8.11,0.6,-7.85,0.03,-5.93,0.08,2.18,0.26,,,,,,,,,,4.75
mobley_8614858, CCCCCCC, heptane,2.67,0.6,2.92,0.03,3.09,0.11,0.42,0.25,,,,,,,,,,0.18
mobley_2183616, CC[C@H](C)c1ccccc1, sec-butylbenzene,-0.45,0.6,-0.22,0.03,0.94,0.1,1.39,0.23,,,,,,,,,,1.93
mobley_7732703, C(F)(F)(F)Br, bromo-trifluoro-methane,1.79,0.6,1.56,0.02,,,,0.23,,,,,,,,,,
mobley_5110043, Cc1ccc2cc(ccc2c1)C," 2,6-dimethylnaphthalene",-2.63,0.6,-2.85,0.03,-1.4,0.02,1.23,0.22,,,,,,,,,,1.51
mobley_2390199, CCCC(=O)CCC, heptan-4-one,-2.92,0.6,-2.7,0.03,-2.66,0.04,0.26,0.22,,,,,,,,,,0.07
mobley_1803862, CCC(C)C, isopentane,2.38,0.6,2.59,0.02,2.87,0.11,0.49,0.21,,,,,,,,,,0.24
mobley_349850, Cc1ccc(cc1)C(=O)C, 1-(p-tolyl)ethanone,-4.7,0.6,-4.91,0.03,-4.25,0.07,0.45,0.21,,,,,,,,,,0.20
mobley_6733657, C1[C@H]([C@@H]2[C@H]([C@H]1Cl)[C@]3(C(=C([C@@]2(C3(Cl)Cl)Cl)Cl)Cl)Cl)Cl, chlordane,-3.44,0.1,-3.23,0.04,,,,0.21,-6.403333,,,,,,,,,
mobley_2279874, COC(OC)OC, trimethoxymethane,-4.42,0.6,-4.62,0.03,-3.49,0.07,0.93,0.20,,,,,,,,,,0.86
mobley_3187514, Cc1ccccc1N, 2-methylaniline,-5.53,0.6,-5.33,0.03,-4.84,0.04,0.69,0.20,,,,,,,,,,0.48
mobley_9139060, CC1CCC(CC1)C," 1,4-dimethylcyclohexane",2.11,0.6,1.92,0.03,2.6,0.03,0.49,0.19,,,,,,,,,,0.24
mobley_5852491, CC1CCCC1, methylcyclopentane,1.59,0.6,1.78,0.02,1.96,0.08,0.37,0.19,,,,,,,,,,0.14
mobley_252413, CCCC(C)(C)C," 2,2-dimethylpentane",2.88,0.6,2.69,0.03,2.99,0.1,0.11,0.19,,,,,,,,,,0.01
mobley_2484519, c1ccc(cc1)CCl, benzyl chloride,-1.93,0.2,-1.74,0.03,-2.02,0.04,0.09,0.19,,,,,,,,,,0.01
mobley_9717937, c1ccc(cc1)c2ccccc2Cl, 1-chloro-2-phenyl-benzene,-2.69,0.1,-2.51,0.03,-1.43,0.06,1.26,0.18,,,,,,,,,,1.59
mobley_6929123, COC(=O)CCl, methyl 2-chloroacetate,-4,0.6,-3.82,0.02,-4.51,0.04,0.51,0.18,,,,,,,,,,0.26
mobley_8127829, CCc1ccccc1, ethylbenzene,-0.79,0.6,-0.61,0.03,0.15,0.07,0.94,0.18,,,,,,,,,,0.88
mobley_547634, Cc1cc2ccccc2cc1C," 2,3-dimethylnaphthalene",-2.78,0.6,-2.95,0.03,-1.54,0.01,1.24,0.17,,,,,,,,,,1.54
mobley_8191186, C(C(F)(F)F)Cl," 2-chloro-1,1,1-trifluoro-ethane",0.06,0.6,0.23,0.02,-1.07,0.04,1.13,0.17,,,,,,,,,,1.28
mobley_2197088, CCCCCCCCCC, decane,3.16,0.6,3.33,0.03,3.81,0.01,0.65,0.17,,,,,,,,,,0.42
mobley_2328633, CCCCCC1CCCC1, pentylcyclopentane,2.55,0.6,2.38,0.03,2.68,0.15,0.13,0.17,,,,,,,,,,0.02
mobley_2859600, C=Cc1ccccc1, styrene,-1.24,0.6,-1.08,0.03,-0.98,0.05,0.26,0.16,,,,,,,,,,0.07
mobley_7688753, c1cc(cc(c1)O)C=O, 3-hydroxybenzaldehyde,-9.52,1.9,-9.37,0.03,-7.72,0.09,1.80,0.15,,,,,,,,,,3.24
mobley_902954, CCCCO[N+](=O)[O-], butyl nitrate,-2.09,0.1,-1.94,0.03,-0.57,0.09,1.52,0.15,,,,,,,,,,2.31
mobley_8337722, C[C@@H]1CC[C@H]([C@@H](C1)O)C(C)C," (1R,2S,5R)-2-isopropyl-5-methylcyclohexanol",-3.2,0.28,-3.35,0.04,-2.43,0.34,0.77,0.15,,,,,,,,,,0.59
mobley_8573194, CCCC=O, butanal,-3.18,0.6,-3.04,0.02,-1.64,0.05,1.54,0.14,,,,,,,,,,2.37
mobley_3525176, CCCCCc1ccccc1, pentylbenzene,-0.23,0.6,-0.09,0.02,0.93,0.09,1.16,0.14,,,,,,,,,,1.35
mobley_3234716, Cc1ccc(cc1)C, p-xylene,-0.8,0.6,-0.66,0.03,0.34,0.02,1.14,0.14,,,,,,,,,,1.30
mobley_4561957, CC(C)C(C)C," 2,3-dimethylbutane",2.34,0.6,2.47,0.03,2.95,0.07,0.61,0.13,,,,,,,,,,0.37
mobley_1967551, CC=O, acetaldehyde,-3.5,0.6,-3.37,0.02,-2.73,0.04,0.77,0.13,,,,,,,,,,0.59
mobley_4690963, CCOCCOCC," 1,2-diethoxyethane",-3.54,0.6,-3.42,0.04,-3.08,0.14,0.46,0.12,,,,,,,,,,0.21
mobley_5346580, CC(=O)C(C)(C)C," 3,3-dimethylbutan-2-one",-3.11,0.6,-3.23,0.03,-2.9,0.13,0.21,0.12,,,,,,,,,,0.04
mobley_9407874, CCCCCCC(=O)C, octan-2-one,-2.88,0.6,-2.76,0.03,-2.74,0.08,0.14,0.12,,,,,,,,,,0.02
mobley_8522124, CCCCCCC#C, oct-1-yne,0.71,0.6,0.83,0.03,0.34,0.08,0.37,0.12,,,,,,,,,,0.14
mobley_4013838, CC(C)C(=O)C(C)C," 2,4-dimethylpentan-3-one",-2.74,0.6,-2.63,0.03,-6.27,0.05,3.53,0.11,,,,,,,,,,12.46
mobley_5627459, CC(C)C=O, 2-methylpropanal,-2.86,0.6,-2.97,0.02,-2.16,0.09,0.70,0.11,,,,,,,,,,0.49
mobley_1873346, Cc1ccccc1, toluene,-0.9,0.2,-0.79,0.03,0.04,0.06,0.94,0.11,,,,,,,,,,0.88
mobley_4715906, C[C@@H]1CCCC[C@@H]1C," 1,2-dimethylcyclohexane",1.58,0.6,1.69,0.03,2.37,0.02,0.79,0.11,,,,,,,,,,0.62
mobley_4177472, CC(C)C(C)C(C)C," 2,3,4-trimethylpentane",2.56,0.6,2.67,0.03,3.16,0.09,0.60,0.11,,,,,,,,,,0.36
mobley_2043882, CC(=O)C1CCCCC1, 1-cyclohexylethanone,-3.9,0.6,-4,0.03,-5.17,0.06,1.27,0.10,,,,,,,,,,1.61
mobley_8668219, CC[C@@H](C)C(C)C," 2,3-dimethylpentane",2.52,0.6,2.62,0.03,3.08,0.07,0.56,0.10,,,,,,,,,,0.31
mobley_3573480, CCCCCC(=O)C, heptan-2-one,-3.04,0.6,-2.94,0.03,-2.9,0.08,0.14,0.10,,,,,,,,,,0.02
mobley_8492526, CCCCC=O, pentanal,-3.03,0.6,-2.93,0.03,-1.51,0.07,1.52,0.10,,,,,,,,,,2.31
mobley_4375719, CCCCCCCCC, nonane,3.13,0.6,3.22,0.03,3.66,0.13,0.53,0.09,,,,,,,,,,0.28
mobley_3040612, CCc1ccccc1C, 1-ethyl-2-methylbenzene,-0.85,0.1,-0.76,0.03,0.39,0.12,1.24,0.09,,,,,,,,,,1.54
mobley_3053621, c1ccccc1, benzene,-0.9,0.2,-0.81,0.02,-0.2,0.03,0.70,0.09,,,,,,,,,,0.49
mobley_755351, COc1cccc(c1)N, 3-methoxyaniline,-7.29,0.6,-7.2,0.03,-5.66,0.06,1.63,0.09,,,,,,,,,,2.66
mobley_5282042, CN(C)CCC=C1c2ccccc2CCc3c1cccc3, Amitriptyline,-7.43,0.6,-7.35,0.05,-5.01,0.46,2.42,0.08,,,,,,,,,,5.86
mobley_5518547, Cc1ccc(cc1)N, 4-methylaniline,-5.57,0.6,-5.49,0.03,-3.84,0.07,1.73,0.08,,,,,,,,,,2.99
mobley_3572203, CCCCCOC(=O)CC, pentyl propanoate,-2.11,0.6,-2.18,0.03,-1.1,0.06,1.01,0.07,,,,,,,,,,1.02
mobley_8436428, CC(C)CC(C)C," 2,4-dimethylpentane",2.83,0.6,2.76,0.03,3.47,0.1,0.64,0.07,,,,,,,,,,0.41
mobley_8337977, CC(C)CC(=O)C, 4-methylpentan-2-one,-3.05,0.6,-3.12,0.03,-2.97,0.04,0.08,0.07,,,,,,,,,,0.01
mobley_3169935, c1ccc(c(c1)N)Cl, 2-chloroaniline,-4.91,0.6,-4.85,0.03,-3.57,0.06,1.34,0.06,,,,,,,,,,1.80
mobley_588781, CCCCCCc1ccccc1, hexylbenzene,-0.04,0.6,-0.1,0.04,1.18,0.05,1.22,0.06,,,,,,,,,,1.49
mobley_6102880, c1ccc(cc1)Oc2ccccc2, diphenyl ether,-2.87,0.69,-2.81,0.03,-2.2,0.19,0.67,0.06,,,,,,,,,,0.45
mobley_3183805, Cc1ccc(c(c1)C)C," 1,2,4-trimethylbenzene",-0.86,0.6,-0.8,0.03,0.37,0.05,1.23,0.06,,,,,,,,,,1.51
mobley_3802803, CCCCCCO[N+](=O)[O-], hexyl nitrate,-1.66,0.1,-1.6,0.02,-0.25,0.11,1.41,0.06,,,,,,,,,,1.99
mobley_6896128, CCCC[C@@H](C)CC, 3-methylheptane,2.97,0.6,3.03,0.03,3.38,0.08,0.41,0.06,,,,,,,,,,0.17
mobley_7375018, CCCCCCCCCC(=O)C, undecan-2-one,-2.15,0.6,-2.2,0.04,-2.18,0.14,0.03,0.05,,,,,,,,,,0.00
